v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -12.326488                  0.000568
    -0.000035                  0.000000
    -0.000016                  0.000000
     0.000038                  0.000000
     6.664890                  0.000007
     7.130834                  0.000180
    96.705784                  0.003825
   199.233512                  0.000171
   249.732821                  0.002373
   261.734424                  0.000290
   409.647365                  0.000009
   436.192296                  0.000859
   499.295729                  0.011142
   542.807680                  0.006042
   606.539666                  0.000452
   684.743824                  0.031367
   740.609375                  0.051375
   777.656744                  0.013470
   795.784281                  0.000294
   863.038712                  0.005729
   939.755400                  0.000066
   960.492657                  0.000134
   984.262424                  0.000830
  1018.160503                  0.004404
  1038.427521                  0.047023
  1075.447084                  0.009872
  1126.301878                  0.000523
  1146.198386                  0.002550
  1159.119645                  0.009989
  1162.772322                  0.012441
  1242.794968                  0.217108
  1297.391248                  0.000427
  1355.263995                  0.015192
  1416.276710                  0.005571
  1436.551477                  0.008365
  1439.415205                  0.011825
  1451.799926                  0.022127
  1480.823477                  0.091682
  1581.971213                  0.023944
  1599.508480                  0.069707
  2929.484295                  0.058563
  2991.699222                  0.034948
  3067.525342                  0.016142
  3096.318777                  0.002496
  3103.280518                  0.009891
  3120.075342                  0.015232
  3126.944939                  0.012356
  3133.531280                  0.003748
