v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -12.717219                  0.000573
    -3.508490                  0.001537
    -1.421822                  0.001280
    -0.000042                  0.000000
    -0.000016                  0.000000
     0.000038                  0.000000
   110.172776                  0.004200
   213.615347                  0.007717
   225.257311                  0.006869
   398.386422                  0.000082
   430.539194                  0.000260
   444.231652                  0.006591
   607.911443                  0.000469
   640.733116                  0.020931
   682.947587                  0.032739
   737.328444                  0.040486
   819.457141                  0.030149
   836.129971                  0.000011
   911.247924                  0.000749
   966.409827                  0.000000
   979.965371                  0.000865
   990.633764                  0.001130
   991.164590                  0.000550
  1019.867075                  0.002991
  1073.916812                  0.005929
  1152.172986                  0.015023
  1154.659919                  0.013779
  1196.270771                  0.058442
  1294.764765                  0.015912
  1349.686665                  0.005348
  1372.002014                  0.003561
  1441.290942                  0.014052
  1473.545293                  0.001641
  1578.581919                  0.012683
  1594.779215                  0.037524
  1708.070085                  0.257305
  2790.788358                  0.126076
  3086.790693                  0.004169
  3100.295576                  0.000450
  3110.788697                  0.007164
  3119.842092                  0.009910
  3125.801867                  0.012868
