v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   500.000000                     0.000016          0.001580
   501.000000                     0.000016          0.001569
   502.000000                     0.000016          0.001560
   503.000000                     0.000015          0.001552
   504.000000                     0.000015          0.001546
   505.000000                     0.000015          0.001540
   506.000000                     0.000015          0.001535
   507.000000                     0.000015          0.001530
   508.000000                     0.000015          0.001527
   509.000000                     0.000015          0.001525
   510.000000                     0.000015          0.001523
   511.000000                     0.000015          0.001522
   512.000000                     0.000015          0.001522
   513.000000                     0.000015          0.001522
   514.000000                     0.000015          0.001523
   515.000000                     0.000015          0.001525
   516.000000                     0.000015          0.001528
   517.000000                     0.000015          0.001531
   518.000000                     0.000015          0.001534
   519.000000                     0.000015          0.001539
   520.000000                     0.000015          0.001544
   521.000000                     0.000015          0.001549
   522.000000                     0.000015          0.001555
   523.000000                     0.000016          0.001562
   524.000000                     0.000016          0.001569
   525.000000                     0.000016          0.001577
   526.000000                     0.000016          0.001586
   527.000000                     0.000016          0.001594
   528.000000                     0.000016          0.001604
   529.000000                     0.000016          0.001614
   530.000000                     0.000016          0.001625
   531.000000                     0.000016          0.001636
   532.000000                     0.000016          0.001648
   533.000000                     0.000016          0.001660
   534.000000                     0.000017          0.001673
   535.000000                     0.000017          0.001686
   536.000000                     0.000017          0.001701
   537.000000                     0.000017          0.001715
   538.000000                     0.000017          0.001731
   539.000000                     0.000017          0.001747
   540.000000                     0.000018          0.001763
   541.000000                     0.000018          0.001780
   542.000000                     0.000018          0.001798
   543.000000                     0.000018          0.001817
   544.000000                     0.000018          0.001836
   545.000000                     0.000018          0.001856
   546.000000                     0.000019          0.001877
   547.000000                     0.000019          0.001898
   548.000000                     0.000019          0.001921
   549.000000                     0.000019          0.001944
   550.000000                     0.000020          0.001968
   551.000000                     0.000020          0.001992
   552.000000                     0.000020          0.002018
   553.000000                     0.000020          0.002045
   554.000000                     0.000021          0.002072
   555.000000                     0.000021          0.002100
   556.000000                     0.000021          0.002130
   557.000000                     0.000021          0.002160
   558.000000                     0.000022          0.002192
   559.000000                     0.000022          0.002225
   560.000000                     0.000022          0.002259
   561.000000                     0.000023          0.002294
   562.000000                     0.000023          0.002330
   563.000000                     0.000024          0.002368
   564.000000                     0.000024          0.002408
   565.000000                     0.000024          0.002448
   566.000000                     0.000025          0.002491
   567.000000                     0.000025          0.002535
   568.000000                     0.000026          0.002580
   569.000000                     0.000026          0.002628
   570.000000                     0.000027          0.002677
   571.000000                     0.000027          0.002729
   572.000000                     0.000028          0.002783
   573.000000                     0.000028          0.002838
   574.000000                     0.000029          0.002897
   575.000000                     0.000029          0.002958
   576.000000                     0.000030          0.003021
   577.000000                     0.000031          0.003088
   578.000000                     0.000031          0.003157
   579.000000                     0.000032          0.003230
   580.000000                     0.000033          0.003307
   581.000000                     0.000034          0.003387
   582.000000                     0.000035          0.003471
   583.000000                     0.000035          0.003560
   584.000000                     0.000036          0.003654
   585.000000                     0.000037          0.003753
   586.000000                     0.000038          0.003858
   587.000000                     0.000039          0.003969
   588.000000                     0.000041          0.004086
   589.000000                     0.000042          0.004212
   590.000000                     0.000043          0.004345
   591.000000                     0.000045          0.004488
   592.000000                     0.000046          0.004641
   593.000000                     0.000048          0.004806
   594.000000                     0.000050          0.004983
   595.000000                     0.000051          0.005175
   596.000000                     0.000054          0.005383
   597.000000                     0.000056          0.005609
   598.000000                     0.000058          0.005855
   599.000000                     0.000061          0.006123
   600.000000                     0.000064          0.006416
   601.000000                     0.000067          0.006733
   602.000000                     0.000070          0.007075
   603.000000                     0.000074          0.007439
   604.000000                     0.000078          0.007820
   605.000000                     0.000082          0.008208
   606.000000                     0.000085          0.008591
   607.000000                     0.000089          0.008956
   608.000000                     0.000092          0.009296
   609.000000                     0.000095          0.009608
   610.000000                     0.000098          0.009901
   611.000000                     0.000101          0.010190
   612.000000                     0.000104          0.010493
   613.000000                     0.000108          0.010828
