v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -11.124597                  0.000000
    -7.254981                  0.000000
    -5.263787                  0.000000
    -0.000060                  0.000000
     0.000028                  0.000000
     0.000039                  0.000000
   394.783892                  0.000000
   394.859443                  0.000000
   600.250764                  0.000000
   600.331503                  0.000000
   661.048614                  0.108995
   703.463741                  0.000000
   834.330825                  0.000000
   834.970996                  0.000000
   955.475033                  0.000000
   955.989533                  0.000000
   984.028931                  0.000000
   994.291206                  0.000000
   994.433075                  0.000000
  1036.188332                  0.005764
  1036.362339                  0.005777
  1143.218527                  0.000000
  1165.231696                  0.000000
  1165.328421                  0.000000
  1332.703518                  0.000000
  1344.948195                  0.000000
  1465.269712                  0.006072
  1465.476859                  0.006088
  1591.545616                  0.000000
  1591.606574                  0.000000
  3089.358129                  0.000006
  3099.142173                  0.000000
  3099.631596                  0.000000
  3114.968406                  0.033965
  3115.447953                  0.033873
  3125.024477                  0.000000
