v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -12.724731                  0.000800
    -2.095172                  0.000366
    -0.000040                  0.000000
    -0.000038                  0.000000
    -0.000023                  0.000000
     3.529296                  0.000143
    57.806954                  0.001044
   150.464332                  0.000663
   212.429883                  0.001577
   373.974504                  0.005115
   395.894046                  0.000443
   417.436481                  0.008670
   480.522655                  0.006629
   586.253569                  0.054524
   609.490957                  0.002617
   611.693620                  0.044115
   684.290628                  0.026446
   700.555939                  0.103763
   752.490368                  0.006754
   792.330666                  0.000708
   836.169758                  0.000066
   928.955779                  0.001448
   968.312705                  0.000048
   984.385484                  0.000026
   992.755913                  0.001975
  1022.794510                  0.030018
  1056.037143                  0.158555
  1083.141380                  0.016778
  1148.907554                  0.140474
  1153.444098                  0.008799
  1174.948042                  0.020129
  1300.445385                  0.003636
  1324.786734                  0.116591
  1354.670215                  0.003067
  1437.612972                  0.014073
  1477.646356                  0.001769
  1579.481236                  0.004424
  1599.146618                  0.018025
  1726.068979                  0.321033
  3099.125002                  0.000221
  3110.702711                  0.008822
  3120.355247                  0.009392
  3130.018400                  0.007318
  3138.989506                  0.002928
  3655.585189                  0.072257
