v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
    -0.000038                  0.000000
     0.000018                  0.000000
     0.000030                  0.000000
     3.082015                  0.000002
     5.328271                  0.002919
     5.656306                  0.002271
   138.031279                  0.001890
   159.853588                  0.004444
   372.205902                  0.000482
   391.458384                  0.000000
   452.667747                  0.000003
   547.078024                  0.016985
   549.390637                  0.000180
   618.016555                  0.000132
   683.462148                  0.035285
   750.482073                  0.037221
   754.353924                  0.001513
   829.236504                  0.000000
   912.553603                  0.002855
   960.296986                  0.000000
   982.183744                  0.000030
   990.104692                  0.000334
  1025.340374                  0.003724
  1078.023730                  0.004738
  1155.804482                  0.000047
  1168.966263                  0.000896
  1194.166534                  0.000720
  1299.063187                  0.000009
  1340.759746                  0.001320
  1432.447065                  0.006514
  1475.782397                  0.006984
  1569.949042                  0.000928
  1596.830205                  0.000762
  2257.009326                  0.026217
  3103.840855                  0.000001
  3113.546760                  0.003096
  3121.759920                  0.006501
  3130.027703                  0.006524
  3133.294325                  0.003127
