v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -14.896131                  0.000749
    -4.976981                  0.000244
    -3.408201                  0.000057
    -0.000009                  0.000000
     0.000007                  0.000000
     0.000017                  0.000000
   218.707754                  0.000777
   366.573987                  0.096686
   392.438063                  0.010015
   405.824916                  0.000236
   495.929467                  0.014601
   518.413420                  0.001626
   610.475535                  0.000394
   681.851696                  0.032895
   740.731916                  0.047652
   793.845004                  0.000000
   808.993280                  0.019870
   863.680192                  0.005537
   937.924657                  0.000029
   960.382998                  0.000149
   987.321515                  0.001600
  1020.379606                  0.005562
  1066.743377                  0.015173
  1145.148788                  0.028196
  1153.435251                  0.133168
  1156.893979                  0.000647
  1250.944948                  0.074068
  1319.177809                  0.013331
  1359.560752                  0.010819
  1456.378164                  0.024680
  1483.368292                  0.052063
  1593.597302                  0.046901
  1604.135413                  0.036596
  3080.418904                  0.013890
  3100.326779                  0.000322
  3109.151302                  0.014596
  3122.827169                  0.014220
  3129.347769                  0.004826
  3723.967368                  0.047664
