v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   500.000000                     0.000023          0.014186
   501.000000                     0.000023          0.014156
   502.000000                     0.000023          0.014198
   503.000000                     0.000023          0.014318
   504.000000                     0.000023          0.014522
   505.000000                     0.000024          0.014815
   506.000000                     0.000024          0.015203
   507.000000                     0.000025          0.015684
   508.000000                     0.000026          0.016251
   509.000000                     0.000027          0.016882
   510.000000                     0.000028          0.017538
   511.000000                     0.000029          0.018157
   512.000000                     0.000030          0.018658
   513.000000                     0.000030          0.018954
   514.000000                     0.000030          0.018978
   515.000000                     0.000030          0.018701
   516.000000                     0.000029          0.018149
   517.000000                     0.000028          0.017387
   518.000000                     0.000026          0.016499
   519.000000                     0.000025          0.015568
   520.000000                     0.000024          0.014652
   521.000000                     0.000022          0.013792
   522.000000                     0.000021          0.013009
   523.000000                     0.000020          0.012310
   524.000000                     0.000019          0.011692
   525.000000                     0.000018          0.011150
   526.000000                     0.000017          0.010678
   527.000000                     0.000016          0.010265
   528.000000                     0.000016          0.009906
   529.000000                     0.000015          0.009592
   530.000000                     0.000015          0.009318
   531.000000                     0.000015          0.009077
   532.000000                     0.000014          0.008867
   533.000000                     0.000014          0.008682
   534.000000                     0.000014          0.008519
   535.000000                     0.000013          0.008376
   536.000000                     0.000013          0.008251
   537.000000                     0.000013          0.008140
   538.000000                     0.000013          0.008044
   539.000000                     0.000013          0.007959
   540.000000                     0.000013          0.007886
   541.000000                     0.000013          0.007822
   542.000000                     0.000012          0.007768
   543.000000                     0.000012          0.007721
   544.000000                     0.000012          0.007683
   545.000000                     0.000012          0.007651
   546.000000                     0.000012          0.007626
   547.000000                     0.000012          0.007606
   548.000000                     0.000012          0.007593
   549.000000                     0.000012          0.007585
   550.000000                     0.000012          0.007581
   551.000000                     0.000012          0.007583
   552.000000                     0.000012          0.007589
   553.000000                     0.000012          0.007599
   554.000000                     0.000012          0.007614
   555.000000                     0.000012          0.007632
   556.000000                     0.000012          0.007655
   557.000000                     0.000012          0.007681
   558.000000                     0.000012          0.007711
   559.000000                     0.000012          0.007745
   560.000000                     0.000012          0.007782
   561.000000                     0.000013          0.007822
   562.000000                     0.000013          0.007866
   563.000000                     0.000013          0.007913
   564.000000                     0.000013          0.007964
   565.000000                     0.000013          0.008018
   566.000000                     0.000013          0.008075
   567.000000                     0.000013          0.008136
   568.000000                     0.000013          0.008200
   569.000000                     0.000013          0.008267
   570.000000                     0.000013          0.008338
   571.000000                     0.000013          0.008412
   572.000000                     0.000014          0.008490
   573.000000                     0.000014          0.008571
   574.000000                     0.000014          0.008656
   575.000000                     0.000014          0.008744
   576.000000                     0.000014          0.008836
   577.000000                     0.000014          0.008932
   578.000000                     0.000014          0.009031
   579.000000                     0.000015          0.009135
   580.000000                     0.000015          0.009242
   581.000000                     0.000015          0.009354
   582.000000                     0.000015          0.009470
   583.000000                     0.000015          0.009591
   584.000000                     0.000016          0.009716
   585.000000                     0.000016          0.009846
   586.000000                     0.000016          0.009981
   587.000000                     0.000016          0.010122
   588.000000                     0.000016          0.010267
   589.000000                     0.000017          0.010419
   590.000000                     0.000017          0.010576
   591.000000                     0.000017          0.010740
   592.000000                     0.000018          0.010910
   593.000000                     0.000018          0.011088
   594.000000                     0.000018          0.011273
   595.000000                     0.000018          0.011466
   596.000000                     0.000019          0.011668
   597.000000                     0.000019          0.011880
   598.000000                     0.000019          0.012102
   599.000000                     0.000020          0.012335
   600.000000                     0.000020          0.012580
   601.000000                     0.000021          0.012839
   602.000000                     0.000021          0.013113
   603.000000                     0.000022          0.013403
   604.000000                     0.000022          0.013712
   605.000000                     0.000023          0.014041
   606.000000                     0.000023          0.014393
   607.000000                     0.000024          0.014768
   608.000000                     0.000024          0.015168
   609.000000                     0.000025          0.015592
   610.000000                     0.000026          0.016038
   611.000000                     0.000026          0.016499
   612.000000                     0.000027          0.016963
   613.000000                     0.000028          0.017418
   614.000000                     0.000029          0.017844
   615.000000                     0.000029          0.018227
   616.000000                     0.000030          0.018560
   617.000000                     0.000030          0.018844
   618.000000                     0.000031          0.019094
   619.000000                     0.000031          0.019325
   620.000000                     0.000031          0.019557
   621.000000                     0.000032          0.019803
   622.000000                     0.000032          0.020075
   623.000000                     0.000033          0.020377
   624.000000                     0.000033          0.020713
   625.000000                     0.000034          0.021085
   626.000000                     0.000034          0.021493
   627.000000                     0.000035          0.021935
   628.000000                     0.000036          0.022413
   629.000000                     0.000037          0.022925
   630.000000                     0.000038          0.023471
   631.000000                     0.000039          0.024053
   632.000000                     0.000040          0.024669
   633.000000                     0.000041          0.025322
   634.000000                     0.000042          0.026012
   635.000000                     0.000043          0.026741
   636.000000                     0.000044          0.027510
   637.000000                     0.000045          0.028321
   638.000000                     0.000047          0.029177
   639.000000                     0.000048          0.030080
   640.000000                     0.000050          0.031032
   641.000000                     0.000051          0.032038
   642.000000                     0.000053          0.033100
   643.000000                     0.000055          0.034223
   644.000000                     0.000057          0.035411
   645.000000                     0.000059          0.036668
   646.000000                     0.000061          0.037999
   647.000000                     0.000063          0.039412
