v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -12.584643                  0.000035
   -11.305991                  0.000027
    -0.000057                  0.000000
    -0.000007                  0.000000
     0.000041                  0.000000
     4.556442                  0.000006
    17.472491                  0.000228
   200.374884                  0.002123
   336.258216                  0.000399
   398.018322                  0.000008
   458.219197                  0.009234
   513.978531                  0.000445
   615.277326                  0.000091
   691.893047                  0.032983
   718.472166                  0.038817
   783.766013                  0.000716
   827.308273                  0.000013
   881.740479                  0.000523
   952.144137                  0.000001
   968.302013                  0.001321
   970.139889                  0.000008
   992.749887                  0.000065
  1020.430019                  0.005489
  1028.328451                  0.004027
  1083.625733                  0.006383
  1148.795768                  0.000043
  1170.553658                  0.000425
  1205.493773                  0.001360
  1305.708317                  0.000177
  1342.902212                  0.000221
  1356.290037                  0.002250
  1419.831973                  0.000885
  1432.228893                  0.006618
  1453.146724                  0.012441
  1483.360561                  0.013678
  1582.043842                  0.000127
  1603.650643                  0.009649
  2960.305240                  0.027535
  3020.159009                  0.013151
  3049.935024                  0.013554
  3084.483207                  0.009696
  3085.638374                  0.007839
  3101.025158                  0.004175
  3109.970077                  0.031256
  3122.951238                  0.013892
