v [cm$^{-1}$]    Ir. Rep.    I [$e^{2}$ amu$^{-1}$]    \Gamma [cm$^{-1}$]
    -0.000001        None                  0.000002              0.000000
   127.369071           E                  0.000376              2.631987
   223.516426          A1                  0.000000              9.521060
   255.079459           E                  0.022593              1.958139
   337.017817          A1                  0.000000              1.685197
   341.539026          A2                  0.208278              1.442452
   374.190077           E                  0.269368              1.581872
   434.994910           E                  0.704776              2.133952
   454.962925          A1                  0.000000              4.831936
   482.034422          A2                  0.366675              2.752072
   691.771932           E                  0.074988              5.150003
   769.869101          A2                  0.215113              3.633859
   792.146814           E                  0.308709              3.434777
  1070.569234           E                  3.417660              4.147155
  1080.656373          A2                  1.790323              4.171538
  1085.877417          A1                  0.000000              3.556429
  1148.706441           E                  0.078903              5.850238
