v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -48.000000                     0.000006          0.000011
   -47.000000                     0.000006          0.000011
   -46.000000                     0.000006          0.000011
   -45.000000                     0.000006          0.000011
   -44.000000                     0.000006          0.000011
   -43.000000                     0.000006          0.000011
   -42.000000                     0.000006          0.000011
   -41.000000                     0.000006          0.000011
   -40.000000                     0.000006          0.000011
   -39.000000                     0.000006          0.000011
   -38.000000                     0.000006          0.000011
   -37.000000                     0.000006          0.000011
   -36.000000                     0.000006          0.000011
   -35.000000                     0.000006          0.000011
   -34.000000                     0.000006          0.000011
   -33.000000                     0.000006          0.000011
   -32.000000                     0.000006          0.000011
   -31.000000                     0.000006          0.000011
   -30.000000                     0.000006          0.000011
   -29.000000                     0.000006          0.000012
   -28.000000                     0.000006          0.000012
   -27.000000                     0.000006          0.000012
   -26.000000                     0.000006          0.000012
   -25.000000                     0.000006          0.000012
   -24.000000                     0.000006          0.000012
   -23.000000                     0.000006          0.000012
   -22.000000                     0.000006          0.000012
   -21.000000                     0.000006          0.000012
   -20.000000                     0.000006          0.000012
   -19.000000                     0.000006          0.000012
   -18.000000                     0.000006          0.000012
   -17.000000                     0.000006          0.000012
   -16.000000                     0.000006          0.000012
   -15.000000                     0.000006          0.000012
   -14.000000                     0.000006          0.000012
   -13.000000                     0.000006          0.000012
   -12.000000                     0.000006          0.000012
   -11.000000                     0.000006          0.000012
   -10.000000                     0.000006          0.000012
    -9.000000                     0.000006          0.000012
    -8.000000                     0.000006          0.000012
    -7.000000                     0.000006          0.000012
    -6.000000                     0.000006          0.000012
    -5.000000                     0.000006          0.000012
    -4.000000                     0.000006          0.000012
    -3.000000                     0.000006          0.000013
    -2.000000                     0.000007          0.000013
    -1.000000                     0.000007          0.000013
     0.000000                     0.000007          0.000013
     1.000000                     0.000007          0.000013
     2.000000                     0.000007          0.000013
     3.000000                     0.000007          0.000013
     4.000000                     0.000007          0.000013
     5.000000                     0.000007          0.000013
     6.000000                     0.000007          0.000013
     7.000000                     0.000007          0.000013
     8.000000                     0.000007          0.000013
     9.000000                     0.000007          0.000013
    10.000000                     0.000007          0.000013
    11.000000                     0.000007          0.000013
    12.000000                     0.000007          0.000013
    13.000000                     0.000007          0.000013
    14.000000                     0.000007          0.000013
    15.000000                     0.000007          0.000013
    16.000000                     0.000007          0.000013
    17.000000                     0.000007          0.000013
    18.000000                     0.000007          0.000013
    19.000000                     0.000007          0.000013
    20.000000                     0.000007          0.000014
    21.000000                     0.000007          0.000014
    22.000000                     0.000007          0.000014
    23.000000                     0.000007          0.000014
    24.000000                     0.000007          0.000014
    25.000000                     0.000007          0.000014
    26.000000                     0.000007          0.000014
    27.000000                     0.000007          0.000014
    28.000000                     0.000007          0.000014
    29.000000                     0.000007          0.000014
    30.000000                     0.000007          0.000014
    31.000000                     0.000007          0.000014
    32.000000                     0.000007          0.000014
    33.000000                     0.000007          0.000014
    34.000000                     0.000007          0.000014
    35.000000                     0.000007          0.000014
    36.000000                     0.000007          0.000014
    37.000000                     0.000007          0.000014
    38.000000                     0.000007          0.000014
    39.000000                     0.000008          0.000014
    40.000000                     0.000008          0.000015
    41.000000                     0.000008          0.000015
    42.000000                     0.000008          0.000015
    43.000000                     0.000008          0.000015
    44.000000                     0.000008          0.000015
    45.000000                     0.000008          0.000015
    46.000000                     0.000008          0.000015
    47.000000                     0.000008          0.000015
    48.000000                     0.000008          0.000015
    49.000000                     0.000008          0.000015
    50.000000                     0.000008          0.000015
    51.000000                     0.000008          0.000015
    52.000000                     0.000008          0.000015
    53.000000                     0.000008          0.000015
    54.000000                     0.000008          0.000015
    55.000000                     0.000008          0.000015
    56.000000                     0.000008          0.000015
    57.000000                     0.000008          0.000016
    58.000000                     0.000008          0.000016
    59.000000                     0.000008          0.000016
    60.000000                     0.000008          0.000016
    61.000000                     0.000008          0.000016
    62.000000                     0.000008          0.000016
    63.000000                     0.000008          0.000016
    64.000000                     0.000008          0.000016
    65.000000                     0.000008          0.000016
    66.000000                     0.000008          0.000016
    67.000000                     0.000008          0.000016
    68.000000                     0.000008          0.000016
    69.000000                     0.000008          0.000016
    70.000000                     0.000008          0.000016
    71.000000                     0.000009          0.000016
    72.000000                     0.000009          0.000017
    73.000000                     0.000009          0.000017
    74.000000                     0.000009          0.000017
