v [cm$^{-1}$]    Ir. Rep.    I [$e^{2}$ amu$^{-1}$]    \Gamma [cm$^{-1}$]
    -0.000001        None                  0.000000              0.000000
   127.369071           E                  0.000287              2.631987
   223.516426          A1                  0.000000              9.521060
   255.079459           E                  0.021451              1.958139
   337.017817          A1                  0.000000              1.685197
   341.539026          A2                  0.201908              1.442452
   374.190077           E                  0.267727              1.581872
   434.994910           E                  0.684732              2.133952
   454.962925          A1                  0.000000              4.831936
   482.034422          A2                  0.362141              2.752072
   691.771932           E                  0.073759              5.150003
   769.869101          A2                  0.213043              3.633859
   792.146814           E                  0.297586              3.434777
  1070.569234           E                  3.440265              4.147155
  1080.656373          A2                  1.803243              4.171538
  1085.877417          A1                  0.000000              3.556429
  1148.706441           E                  0.078157              5.850238
