v [cm$^{-1}$]    Ir. Rep.    I [$\AA^{4}$ amu$^{-1}$]    \Gamma [cm$^{-1}$]
   127.369071           E                    0.833824              2.631987
   223.516426          A1                    6.927611              9.521060
   255.079459           E                    0.403233              1.958139
   337.017817          A1                    1.056124              1.685197
   374.190077           E                    0.622540              1.581872
   434.994910           E                    0.718097              2.133952
   454.962925          A1                   35.090213              4.831936
   691.771932           E                    1.359328              5.150003
   792.146814           E                    1.556123              3.434777
  1070.569234           E                    1.364994              4.147155
  1085.877417          A1                    1.112663              3.556429
  1148.706441           E                    2.809760              5.850238
