v [cm$^{-1}$]    Ir. Rep.    I [$\AA^{4}$ amu$^{-1}$]    \Gamma [cm$^{-1}$]
   127.369071           E                    0.834398              2.631987
   223.516426          A1                    6.930064              9.521060
   255.079459           E                    0.403933              1.958139
   337.017817          A1                    1.056513              1.685197
   374.190077           E                    0.623667              1.581872
   434.994910           E                    0.718157              2.133952
   454.962925          A1                   35.084538              4.831936
   691.771932           E                    1.359428              5.150003
   792.146814           E                    1.553629              3.434777
  1070.569234           E                    1.365874              4.147155
  1085.877417          A1                    1.113098              3.556429
  1148.706441           E                    2.810934              5.850238
