v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
    -2.955739                  0.000376
    -0.000038                  0.000000
    -0.000020                  0.000000
     0.000022                  0.000000
     6.092939                  0.000523
     6.521940                  0.000464
   210.617726                  0.004962
   317.589410                  0.015516
   374.705466                  0.000045
   402.793442                  0.000201
   480.587171                  0.153463
   516.142051                  0.045600
   532.914367                  0.111321
   613.750562                  0.000311
   682.804625                  0.033894
   737.641959                  0.048732
   796.640611                  0.000023
   814.358526                  0.003363
   854.842736                  0.006478
   936.701678                  0.000004
   954.896478                  0.000071
   983.715318                  0.001768
  1025.356812                  0.004001
  1034.250005                  0.003133
  1103.352560                  0.004059
  1146.539216                  0.001179
  1167.511550                  0.009565
  1280.315959                  0.060776
  1319.326348                  0.000011
  1356.168497                  0.006882
  1455.838725                  0.000900
  1487.588981                  0.064250
  1581.607696                  0.003928
  1594.267092                  0.010242
  1611.728780                  0.164832
  3084.578306                  0.018410
  3085.627604                  0.004554
  3102.933100                  0.002456
  3108.460471                  0.030793
  3127.060197                  0.011532
  3493.162511                  0.016177
  3595.897483                  0.015561
