v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   500.000000                     0.000444          0.052830
   501.000000                     0.000430          0.051157
   502.000000                     0.000406          0.048340
   503.000000                     0.000376          0.044777
   504.000000                     0.000343          0.040869
   505.000000                     0.000310          0.036940
   506.000000                     0.000279          0.033210
   507.000000                     0.000250          0.029802
   508.000000                     0.000225          0.026766
   509.000000                     0.000202          0.024108
   510.000000                     0.000183          0.021806
   511.000000                     0.000167          0.019827
   512.000000                     0.000152          0.018134
   513.000000                     0.000140          0.016692
   514.000000                     0.000130          0.015467
   515.000000                     0.000121          0.014432
   516.000000                     0.000114          0.013562
   517.000000                     0.000108          0.012836
   518.000000                     0.000103          0.012239
   519.000000                     0.000099          0.011757
   520.000000                     0.000096          0.011380
   521.000000                     0.000093          0.011100
   522.000000                     0.000092          0.010913
   523.000000                     0.000091          0.010814
   524.000000                     0.000091          0.010804
   525.000000                     0.000091          0.010884
   526.000000                     0.000093          0.011056
   527.000000                     0.000095          0.011328
   528.000000                     0.000098          0.011707
   529.000000                     0.000103          0.012204
   530.000000                     0.000108          0.012833
   531.000000                     0.000114          0.013608
   532.000000                     0.000122          0.014548
   533.000000                     0.000132          0.015673
   534.000000                     0.000143          0.016998
   535.000000                     0.000156          0.018536
   536.000000                     0.000170          0.020285
   537.000000                     0.000187          0.022220
   538.000000                     0.000204          0.024278
   539.000000                     0.000221          0.026346
   540.000000                     0.000237          0.028253
   541.000000                     0.000250          0.029783
   542.000000                     0.000258          0.030718
   543.000000                     0.000260          0.030899
   544.000000                     0.000254          0.030284
   545.000000                     0.000243          0.028964
   546.000000                     0.000228          0.027128
   547.000000                     0.000210          0.024998
   548.000000                     0.000191          0.022776
   549.000000                     0.000173          0.020608
   550.000000                     0.000156          0.018588
   551.000000                     0.000141          0.016759
   552.000000                     0.000127          0.015136
   553.000000                     0.000115          0.013713
   554.000000                     0.000105          0.012473
   555.000000                     0.000096          0.011396
   556.000000                     0.000088          0.010462
   557.000000                     0.000081          0.009651
   558.000000                     0.000075          0.008947
   559.000000                     0.000070          0.008333
   560.000000                     0.000065          0.007796
   561.000000                     0.000062          0.007326
   562.000000                     0.000058          0.006913
   563.000000                     0.000055          0.006549
   564.000000                     0.000052          0.006228
   565.000000                     0.000050          0.005943
   566.000000                     0.000048          0.005690
   567.000000                     0.000046          0.005466
   568.000000                     0.000044          0.005265
   569.000000                     0.000043          0.005087
   570.000000                     0.000041          0.004928
   571.000000                     0.000040          0.004786
   572.000000                     0.000039          0.004659
   573.000000                     0.000038          0.004546
   574.000000                     0.000037          0.004446
   575.000000                     0.000037          0.004356
   576.000000                     0.000036          0.004278
   577.000000                     0.000035          0.004209
   578.000000                     0.000035          0.004148
   579.000000                     0.000034          0.004096
   580.000000                     0.000034          0.004052
   581.000000                     0.000034          0.004015
   582.000000                     0.000033          0.003986
   583.000000                     0.000033          0.003963
   584.000000                     0.000033          0.003947
   585.000000                     0.000033          0.003938
   586.000000                     0.000033          0.003936
   587.000000                     0.000033          0.003940
   588.000000                     0.000033          0.003952
   589.000000                     0.000033          0.003972
   590.000000                     0.000034          0.003999
   591.000000                     0.000034          0.004035
   592.000000                     0.000034          0.004080
   593.000000                     0.000035          0.004136
   594.000000                     0.000035          0.004203
   595.000000                     0.000036          0.004284
   596.000000                     0.000037          0.004378
   597.000000                     0.000038          0.004488
   598.000000                     0.000039          0.004615
   599.000000                     0.000040          0.004760
   600.000000                     0.000041          0.004922
   601.000000                     0.000043          0.005099
   602.000000                     0.000044          0.005286
   603.000000                     0.000046          0.005471
   604.000000                     0.000047          0.005643
   605.000000                     0.000049          0.005784
   606.000000                     0.000049          0.005879
   607.000000                     0.000050          0.005918
   608.000000                     0.000050          0.005901
   609.000000                     0.000049          0.005837
   610.000000                     0.000048          0.005740
   611.000000                     0.000047          0.005629
   612.000000                     0.000046          0.005517
   613.000000                     0.000045          0.005414
   614.000000                     0.000045          0.005326
   615.000000                     0.000044          0.005255
   616.000000                     0.000044          0.005204
   617.000000                     0.000043          0.005170
   618.000000                     0.000043          0.005152
   619.000000                     0.000043          0.005150
   620.000000                     0.000043          0.005163
   621.000000                     0.000044          0.005187
   622.000000                     0.000044          0.005224
   623.000000                     0.000044          0.005271
   624.000000                     0.000045          0.005329
   625.000000                     0.000045          0.005396
   626.000000                     0.000046          0.005472
   627.000000                     0.000047          0.005558
   628.000000                     0.000047          0.005652
   629.000000                     0.000048          0.005755
   630.000000                     0.000049          0.005866
   631.000000                     0.000050          0.005987
   632.000000                     0.000051          0.006116
   633.000000                     0.000053          0.006256
   634.000000                     0.000054          0.006405
   635.000000                     0.000055          0.006564
   636.000000                     0.000057          0.006734
   637.000000                     0.000058          0.006915
   638.000000                     0.000060          0.007109
   639.000000                     0.000061          0.007316
   640.000000                     0.000063          0.007536
   641.000000                     0.000065          0.007772
   642.000000                     0.000067          0.008023
   643.000000                     0.000070          0.008292
   644.000000                     0.000072          0.008579
