v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
    -5.293096                  0.000000
    -4.873783                  0.000000
    -1.310417                  0.000000
    -0.000019                  0.000000
     0.000029                  0.000000
     0.000050                  0.000000
   394.992974                  0.000000
   395.018173                  0.000000
   600.322955                  0.000000
   600.358396                  0.000000
   661.551872                  0.108996
   703.587495                  0.000000
   834.936322                  0.000000
   835.103344                  0.000000
   955.983504                  0.000000
   956.122300                  0.000000
   984.352556                  0.000000
   994.294370                  0.000000
   994.479958                  0.000000
  1036.264116                  0.005761
  1036.316372                  0.005774
  1143.317015                  0.000000
  1165.302769                  0.000000
  1165.373769                  0.000000
  1332.829879                  0.000000
  1344.779083                  0.000000
  1465.389660                  0.006076
  1465.439408                  0.006090
  1591.475150                  0.000000
  1591.526153                  0.000000
  3089.176387                  0.000000
  3099.134843                  0.000000
  3099.253737                  0.000000
  3114.971160                  0.033965
  3115.070097                  0.033878
  3124.802186                  0.000000
