v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   500.000000                     0.000085          0.006878
   501.000000                     0.000083          0.006672
   502.000000                     0.000081          0.006497
   503.000000                     0.000079          0.006348
   504.000000                     0.000077          0.006224
   505.000000                     0.000076          0.006121
   506.000000                     0.000075          0.006036
   507.000000                     0.000074          0.005968
   508.000000                     0.000073          0.005916
   509.000000                     0.000073          0.005876
   510.000000                     0.000073          0.005850
   511.000000                     0.000072          0.005835
   512.000000                     0.000072          0.005830
   513.000000                     0.000072          0.005836
   514.000000                     0.000073          0.005851
   515.000000                     0.000073          0.005875
   516.000000                     0.000073          0.005907
   517.000000                     0.000074          0.005948
   518.000000                     0.000074          0.005996
   519.000000                     0.000075          0.006052
   520.000000                     0.000076          0.006116
   521.000000                     0.000077          0.006188
   522.000000                     0.000078          0.006266
   523.000000                     0.000079          0.006353
   524.000000                     0.000080          0.006447
   525.000000                     0.000081          0.006549
   526.000000                     0.000083          0.006658
   527.000000                     0.000084          0.006776
   528.000000                     0.000086          0.006902
   529.000000                     0.000087          0.007037
   530.000000                     0.000089          0.007180
   531.000000                     0.000091          0.007333
   532.000000                     0.000093          0.007496
   533.000000                     0.000095          0.007669
   534.000000                     0.000097          0.007853
   535.000000                     0.000100          0.008048
   536.000000                     0.000102          0.008255
   537.000000                     0.000105          0.008475
   538.000000                     0.000108          0.008709
   539.000000                     0.000111          0.008958
   540.000000                     0.000114          0.009222
   541.000000                     0.000118          0.009503
   542.000000                     0.000121          0.009802
   543.000000                     0.000125          0.010120
   544.000000                     0.000130          0.010460
   545.000000                     0.000134          0.010822
   546.000000                     0.000139          0.011209
   547.000000                     0.000144          0.011623
   548.000000                     0.000150          0.012066
   549.000000                     0.000155          0.012541
   550.000000                     0.000162          0.013052
   551.000000                     0.000169          0.013600
   552.000000                     0.000176          0.014192
   553.000000                     0.000184          0.014830
   554.000000                     0.000192          0.015521
   555.000000                     0.000202          0.016268
   556.000000                     0.000212          0.017081
   557.000000                     0.000223          0.017964
   558.000000                     0.000235          0.018928
   559.000000                     0.000248          0.019983
   560.000000                     0.000262          0.021139
   561.000000                     0.000278          0.022410
   562.000000                     0.000295          0.023811
   563.000000                     0.000314          0.025361
   564.000000                     0.000336          0.027081
   565.000000                     0.000359          0.028996
   566.000000                     0.000386          0.031135
   567.000000                     0.000416          0.033534
   568.000000                     0.000449          0.036233
   569.000000                     0.000487          0.039281
   570.000000                     0.000530          0.042736
   571.000000                     0.000578          0.046668
   572.000000                     0.000634          0.051155
   573.000000                     0.000698          0.056293
   574.000000                     0.000771          0.062188
   575.000000                     0.000855          0.068960
   576.000000                     0.000951          0.076737
   577.000000                     0.001062          0.085645
   578.000000                     0.001187          0.095785
   579.000000                     0.001329          0.107203
   580.000000                     0.001485          0.119829
   581.000000                     0.001654          0.133405
   582.000000                     0.001827          0.147396
   583.000000                     0.001995          0.160922
   584.000000                     0.002142          0.172778
   585.000000                     0.002251          0.181608
   586.000000                     0.002308          0.186242
   587.000000                     0.002307          0.186090
   588.000000                     0.002248          0.181370
   589.000000                     0.002145          0.173030
   590.000000                     0.002013          0.162413
   591.000000                     0.001870          0.150863
   592.000000                     0.001729          0.139472
   593.000000                     0.001599          0.128983
   594.000000                     0.001485          0.119829
   595.000000                     0.001391          0.112216
   596.000000                     0.001316          0.106206
   597.000000                     0.001262          0.101790
   598.000000                     0.001226          0.098928
   599.000000                     0.001210          0.097582
   600.000000                     0.001211          0.097726
   601.000000                     0.001231          0.099354
   602.000000                     0.001270          0.102470
   603.000000                     0.001327          0.107079
   604.000000                     0.001403          0.113155
   605.000000                     0.001495          0.120604
   606.000000                     0.001601          0.129197
   607.000000                     0.001717          0.138505
   608.000000                     0.001832          0.147836
   609.000000                     0.001936          0.156224
   610.000000                     0.002015          0.162530
   611.000000                     0.002053          0.165671
   612.000000                     0.002044          0.164937
   613.000000                     0.001986          0.160244
   614.000000                     0.001886          0.152161
   615.000000                     0.001756          0.141703
   616.000000                     0.001611          0.130001
   617.000000                     0.001463          0.118039
   618.000000                     0.001320          0.106521
   619.000000                     0.001188          0.095867
   620.000000                     0.001069          0.086272
   621.000000                     0.000964          0.077779
   622.000000                     0.000872          0.070341
   623.000000                     0.000792          0.063867
   624.000000                     0.000722          0.058249
   625.000000                     0.000662          0.053379
   626.000000                     0.000609          0.049156
   627.000000                     0.000564          0.045488
   628.000000                     0.000524          0.042298
   629.000000                     0.000490          0.039519
   630.000000                     0.000460          0.037092
   631.000000                     0.000433          0.034970
   632.000000                     0.000410          0.033113
   633.000000                     0.000390          0.031486
   634.000000                     0.000373          0.030060
   635.000000                     0.000357          0.028811
   636.000000                     0.000344          0.027720
   637.000000                     0.000332          0.026768
   638.000000                     0.000322          0.025942
   639.000000                     0.000313          0.025228
   640.000000                     0.000305          0.024618
   641.000000                     0.000299          0.024102
   642.000000                     0.000293          0.023674
   643.000000                     0.000289          0.023326
   644.000000                     0.000286          0.023056
   645.000000                     0.000283          0.022858
   646.000000                     0.000282          0.022730
   647.000000                     0.000281          0.022669
   648.000000                     0.000281          0.022675
   649.000000                     0.000282          0.022746
   650.000000                     0.000284          0.022883
   651.000000                     0.000286          0.023086
   652.000000                     0.000290          0.023357
   653.000000                     0.000294          0.023697
   654.000000                     0.000299          0.024110
   655.000000                     0.000305          0.024600
   656.000000                     0.000312          0.025170
   657.000000                     0.000320          0.025826
   658.000000                     0.000329          0.026576
   659.000000                     0.000340          0.027427
   660.000000                     0.000352          0.028389
   661.000000                     0.000365          0.029473
   662.000000                     0.000380          0.030691
   663.000000                     0.000397          0.032060
   664.000000                     0.000416          0.033599
   665.000000                     0.000438          0.035328
   666.000000                     0.000462          0.037272
   667.000000                     0.000489          0.039463
   668.000000                     0.000520          0.041936
   669.000000                     0.000554          0.044731
   670.000000                     0.000594          0.047899
   671.000000                     0.000638          0.051495
   672.000000                     0.000689          0.055586
   673.000000                     0.000747          0.060245
   674.000000                     0.000813          0.065552
   675.000000                     0.000887          0.071590
   676.000000                     0.000972          0.078434
   677.000000                     0.001068          0.086136
   678.000000                     0.001174          0.094702
   679.000000                     0.001290          0.104050
   680.000000                     0.001413          0.113976
   681.000000                     0.001538          0.124116
   682.000000                     0.001660          0.133960
   683.000000                     0.001772          0.142933
   684.000000                     0.001866          0.150557
   685.000000                     0.001942          0.156646
   686.000000                     0.002001          0.161430
   687.000000                     0.002052          0.165514
   688.000000                     0.002104          0.169731
   689.000000                     0.002168          0.174941
   690.000000                     0.002255          0.181900
   691.000000                     0.002370          0.191197
   692.000000                     0.002519          0.203236
   693.000000                     0.002705          0.218216
   694.000000                     0.002926          0.236084
   695.000000                     0.003178          0.256431
   696.000000                     0.003450          0.278347
   697.000000                     0.003722          0.300290
   698.000000                     0.003967          0.320062
   699.000000                     0.004153          0.335043
   700.000000                     0.004248          0.342751
   701.000000                     0.004234          0.341596
   702.000000                     0.004108          0.331454
   703.000000                     0.003888          0.313701
   704.000000                     0.003603          0.290685
   705.000000                     0.003284          0.264968
   706.000000                     0.002959          0.238735
   707.000000                     0.002647          0.213531
   708.000000                     0.002358          0.190258
   709.000000                     0.002099          0.169327
   710.000000                     0.001869          0.150816
   711.000000                     0.001668          0.134612
   712.000000                     0.001494          0.120508
   713.000000                     0.001342          0.108262
   714.000000                     0.001210          0.097633
   715.000000                     0.001096          0.088398
   716.000000                     0.000996          0.080357
   717.000000                     0.000909          0.073338
   718.000000                     0.000833          0.067193
   719.000000                     0.000766          0.061796
   720.000000                     0.000707          0.057041
   721.000000                     0.000655          0.052840
   722.000000                     0.000609          0.049118
   723.000000                     0.000568          0.045811
   724.000000                     0.000531          0.042866
   725.000000                     0.000499          0.040239
   726.000000                     0.000470          0.037893
   727.000000                     0.000444          0.035795
   728.000000                     0.000420          0.033919
   729.000000                     0.000400          0.032242
   730.000000                     0.000381          0.030747
   731.000000                     0.000365          0.029418
   732.000000                     0.000350          0.028242
   733.000000                     0.000337          0.027210
   734.000000                     0.000326          0.026315
   735.000000                     0.000317          0.025552
   736.000000                     0.000309          0.024919
   737.000000                     0.000303          0.024415
   738.000000                     0.000298          0.024043
   739.000000                     0.000295          0.023808
   740.000000                     0.000294          0.023716
   741.000000                     0.000295          0.023777
   742.000000                     0.000297          0.024002
   743.000000                     0.000302          0.024402
   744.000000                     0.000310          0.024986
   745.000000                     0.000319          0.025760
   746.000000                     0.000331          0.026715
   747.000000                     0.000345          0.027823
   748.000000                     0.000360          0.029023
   749.000000                     0.000374          0.030214
   750.000000                     0.000387          0.031251
   751.000000                     0.000396          0.031967
   752.000000                     0.000399          0.032202
   753.000000                     0.000395          0.031860
   754.000000                     0.000384          0.030941
   755.000000                     0.000366          0.029541
   756.000000                     0.000345          0.027815
   757.000000                     0.000321          0.025930
   758.000000                     0.000298          0.024027
   759.000000                     0.000275          0.022202
   760.000000                     0.000254          0.020512
   761.000000                     0.000235          0.018982
   762.000000                     0.000218          0.017617
   763.000000                     0.000203          0.016408
   764.000000                     0.000190          0.015342
   765.000000                     0.000179          0.014402
   766.000000                     0.000168          0.013574
   767.000000                     0.000159          0.012841
   768.000000                     0.000151          0.012193
   769.000000                     0.000144          0.011617
   770.000000                     0.000138          0.011104
   771.000000                     0.000132          0.010646
   772.000000                     0.000127          0.010237
   773.000000                     0.000122          0.009870
   774.000000                     0.000118          0.009542
   775.000000                     0.000115          0.009248
   776.000000                     0.000111          0.008986
   777.000000                     0.000109          0.008754
