v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   500.000000                     0.000025          0.016364
   501.000000                     0.000025          0.016950
   502.000000                     0.000026          0.017572
   503.000000                     0.000027          0.018233
   504.000000                     0.000028          0.018937
   505.000000                     0.000030          0.019688
   506.000000                     0.000031          0.020490
   507.000000                     0.000032          0.021348
   508.000000                     0.000033          0.022267
   509.000000                     0.000035          0.023254
   510.000000                     0.000037          0.024314
   511.000000                     0.000038          0.025456
   512.000000                     0.000040          0.026688
   513.000000                     0.000042          0.028019
   514.000000                     0.000044          0.029462
   515.000000                     0.000047          0.031027
   516.000000                     0.000049          0.032731
   517.000000                     0.000052          0.034588
   518.000000                     0.000055          0.036619
   519.000000                     0.000058          0.038844
   520.000000                     0.000062          0.041289
   521.000000                     0.000066          0.043983
   522.000000                     0.000071          0.046960
   523.000000                     0.000076          0.050260
   524.000000                     0.000081          0.053929
   525.000000                     0.000087          0.058022
   526.000000                     0.000094          0.062604
   527.000000                     0.000102          0.067750
   528.000000                     0.000111          0.073551
   529.000000                     0.000120          0.080114
   530.000000                     0.000132          0.087566
   531.000000                     0.000144          0.096058
   532.000000                     0.000159          0.105769
   533.000000                     0.000176          0.116908
   534.000000                     0.000195          0.129719
   535.000000                     0.000217          0.144481
   536.000000                     0.000243          0.161504
   537.000000                     0.000272          0.181112
   538.000000                     0.000306          0.203617
   539.000000                     0.000344          0.229257
   540.000000                     0.000388          0.258102
   541.000000                     0.000436          0.289897
   542.000000                     0.000487          0.323856
   543.000000                     0.000539          0.358438
   544.000000                     0.000588          0.391201
   545.000000                     0.000629          0.418901
   546.000000                     0.000658          0.438016
   547.000000                     0.000670          0.445674
   548.000000                     0.000662          0.440629
   549.000000                     0.000637          0.423740
   550.000000                     0.000597          0.397631
   551.000000                     0.000550          0.365770
   552.000000                     0.000498          0.331497
   553.000000                     0.000447          0.297424
   554.000000                     0.000399          0.265263
   555.000000                     0.000354          0.235932
