v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -10.819553                  0.000631
    -0.000013                  0.000000
     0.000043                  0.000000
     0.000048                  0.000000
     3.526365                  0.000147
     4.405802                  0.000244
   218.789924                  0.000753
   369.693664                  0.096688
   392.531034                  0.010005
   405.971848                  0.000275
   496.276806                  0.014513
   518.437150                  0.001630
   610.506003                  0.000394
   682.089522                  0.032816
   740.992086                  0.047773
   794.440819                  0.000001
   808.981112                  0.019892
   864.036446                  0.005595
   938.449501                  0.000030
   960.724614                  0.000145
   987.341820                  0.001605
  1020.396867                  0.005563
  1066.786418                  0.015143
  1145.245617                  0.027175
  1153.645573                  0.134478
  1157.033423                  0.000545
  1250.851014                  0.073924
  1319.339474                  0.013343
  1359.472382                  0.010843
  1456.368195                  0.024677
  1483.449712                  0.051992
  1593.585903                  0.047179
  1604.086968                  0.036315
  3080.554493                  0.013852
  3100.183540                  0.000268
  3109.087838                  0.014652
  3122.578657                  0.014430
  3129.114685                  0.004651
  3723.645448                  0.047670
