v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   500.000000                     0.000023          0.014152
   501.000000                     0.000023          0.014124
   502.000000                     0.000023          0.014168
   503.000000                     0.000023          0.014291
   504.000000                     0.000023          0.014497
   505.000000                     0.000024          0.014793
   506.000000                     0.000024          0.015183
   507.000000                     0.000025          0.015667
   508.000000                     0.000026          0.016236
   509.000000                     0.000027          0.016867
   510.000000                     0.000028          0.017522
   511.000000                     0.000029          0.018136
   512.000000                     0.000030          0.018629
   513.000000                     0.000030          0.018914
   514.000000                     0.000030          0.018926
   515.000000                     0.000030          0.018638
   516.000000                     0.000029          0.018076
   517.000000                     0.000028          0.017308
   518.000000                     0.000026          0.016419
   519.000000                     0.000025          0.015488
   520.000000                     0.000023          0.014576
   521.000000                     0.000022          0.013720
   522.000000                     0.000021          0.012942
   523.000000                     0.000020          0.012246
   524.000000                     0.000019          0.011633
   525.000000                     0.000018          0.011095
   526.000000                     0.000017          0.010625
   527.000000                     0.000016          0.010216
   528.000000                     0.000016          0.009859
   529.000000                     0.000015          0.009547
   530.000000                     0.000015          0.009274
   531.000000                     0.000015          0.009036
   532.000000                     0.000014          0.008826
   533.000000                     0.000014          0.008642
   534.000000                     0.000014          0.008481
   535.000000                     0.000013          0.008339
   536.000000                     0.000013          0.008214
   537.000000                     0.000013          0.008104
   538.000000                     0.000013          0.008008
   539.000000                     0.000013          0.007924
   540.000000                     0.000013          0.007850
   541.000000                     0.000013          0.007787
   542.000000                     0.000012          0.007733
   543.000000                     0.000012          0.007687
   544.000000                     0.000012          0.007648
   545.000000                     0.000012          0.007616
   546.000000                     0.000012          0.007591
   547.000000                     0.000012          0.007572
   548.000000                     0.000012          0.007558
   549.000000                     0.000012          0.007550
   550.000000                     0.000012          0.007547
   551.000000                     0.000012          0.007548
   552.000000                     0.000012          0.007554
   553.000000                     0.000012          0.007564
   554.000000                     0.000012          0.007579
   555.000000                     0.000012          0.007597
   556.000000                     0.000012          0.007619
   557.000000                     0.000012          0.007645
   558.000000                     0.000012          0.007675
   559.000000                     0.000012          0.007708
   560.000000                     0.000012          0.007745
   561.000000                     0.000013          0.007785
   562.000000                     0.000013          0.007828
   563.000000                     0.000013          0.007875
   564.000000                     0.000013          0.007926
   565.000000                     0.000013          0.007979
   566.000000                     0.000013          0.008036
   567.000000                     0.000013          0.008096
   568.000000                     0.000013          0.008160
   569.000000                     0.000013          0.008227
   570.000000                     0.000013          0.008297
   571.000000                     0.000013          0.008371
   572.000000                     0.000014          0.008448
   573.000000                     0.000014          0.008528
   574.000000                     0.000014          0.008612
   575.000000                     0.000014          0.008700
   576.000000                     0.000014          0.008791
   577.000000                     0.000014          0.008887
   578.000000                     0.000014          0.008985
   579.000000                     0.000015          0.009088
   580.000000                     0.000015          0.009195
   581.000000                     0.000015          0.009306
   582.000000                     0.000015          0.009422
   583.000000                     0.000015          0.009542
   584.000000                     0.000016          0.009666
   585.000000                     0.000016          0.009795
   586.000000                     0.000016          0.009929
   587.000000                     0.000016          0.010069
   588.000000                     0.000016          0.010213
   589.000000                     0.000017          0.010364
   590.000000                     0.000017          0.010520
   591.000000                     0.000017          0.010683
   592.000000                     0.000017          0.010852
   593.000000                     0.000018          0.011028
   594.000000                     0.000018          0.011212
   595.000000                     0.000018          0.011405
   596.000000                     0.000019          0.011605
   597.000000                     0.000019          0.011816
   598.000000                     0.000019          0.012036
   599.000000                     0.000020          0.012268
   600.000000                     0.000020          0.012511
   601.000000                     0.000021          0.012769
   602.000000                     0.000021          0.013041
   603.000000                     0.000021          0.013330
   604.000000                     0.000022          0.013637
   605.000000                     0.000022          0.013964
   606.000000                     0.000023          0.014314
   607.000000                     0.000024          0.014687
   608.000000                     0.000024          0.015085
   609.000000                     0.000025          0.015507
