v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    79.000000                       0.000863          0.000187
    80.000000                       0.000877          0.000190
    81.000000                       0.000893          0.000193
    82.000000                       0.000908          0.000196
    83.000000                       0.000925          0.000200
    84.000000                       0.000942          0.000204
    85.000000                       0.000960          0.000208
    86.000000                       0.000978          0.000212
    87.000000                       0.000998          0.000216
    88.000000                       0.001018          0.000220
    89.000000                       0.001040          0.000225
    90.000000                       0.001063          0.000230
    91.000000                       0.001087          0.000235
    92.000000                       0.001112          0.000241
    93.000000                       0.001139          0.000247
    94.000000                       0.001168          0.000253
    95.000000                       0.001199          0.000259
    96.000000                       0.001232          0.000266
    97.000000                       0.001267          0.000274
    98.000000                       0.001305          0.000282
    99.000000                       0.001346          0.000291
   100.000000                       0.001390          0.000301
   101.000000                       0.001439          0.000311
   102.000000                       0.001492          0.000323
   103.000000                       0.001551          0.000335
   104.000000                       0.001615          0.000349
   105.000000                       0.001687          0.000365
   106.000000                       0.001768          0.000382
   107.000000                       0.001859          0.000402
   108.000000                       0.001962          0.000424
   109.000000                       0.002080          0.000450
   110.000000                       0.002217          0.000480
   111.000000                       0.002378          0.000514
   112.000000                       0.002567          0.000555
   113.000000                       0.002793          0.000604
   114.000000                       0.003069          0.000664
   115.000000                       0.003409          0.000737
   116.000000                       0.003836          0.000830
   117.000000                       0.004386          0.000949
   118.000000                       0.005111          0.001106
   119.000000                       0.006095          0.001319
   120.000000                       0.007483          0.001619
   121.000000                       0.009530          0.002062
   122.000000                       0.012726          0.002753
   123.000000                       0.018097          0.003915
   124.000000                       0.028049          0.006068
   125.000000                       0.048947          0.010589
   126.000000                       0.098303          0.021267
   127.000000                       0.188510          0.040783
   128.000000                       0.165532          0.035812
   129.000000                       0.081042          0.017533
   130.000000                       0.041873          0.009059
   131.000000                       0.024944          0.005397
   132.000000                       0.016620          0.003596
   133.000000                       0.012021          0.002601
   134.000000                       0.009247          0.002001
   135.000000                       0.007460          0.001614
   136.000000                       0.006249          0.001352
   137.000000                       0.005396          0.001167
   138.000000                       0.004778          0.001034
   139.000000                       0.004319          0.000934
   140.000000                       0.003972          0.000859
   141.000000                       0.003707          0.000802
   142.000000                       0.003503          0.000758
   143.000000                       0.003345          0.000724
   144.000000                       0.003223          0.000697
   145.000000                       0.003130          0.000677
   146.000000                       0.003060          0.000662
   147.000000                       0.003009          0.000651
   148.000000                       0.002973          0.000643
   149.000000                       0.002951          0.000639
   150.000000                       0.002941          0.000636
   151.000000                       0.002941          0.000636
   152.000000                       0.002949          0.000638
   153.000000                       0.002966          0.000642
   154.000000                       0.002990          0.000647
   155.000000                       0.003021          0.000654
   156.000000                       0.003058          0.000662
   157.000000                       0.003101          0.000671
   158.000000                       0.003151          0.000682
   159.000000                       0.003206          0.000694
   160.000000                       0.003266          0.000707
   161.000000                       0.003333          0.000721
   162.000000                       0.003405          0.000737
   163.000000                       0.003483          0.000754
   164.000000                       0.003567          0.000772
   165.000000                       0.003657          0.000791
   166.000000                       0.003753          0.000812
   167.000000                       0.003856          0.000834
   168.000000                       0.003966          0.000858
   169.000000                       0.004083          0.000883
   170.000000                       0.004208          0.000910
   171.000000                       0.004341          0.000939
   172.000000                       0.004483          0.000970
